timestamp,binance,bitfinex,bithumb,bitmex,bitstamp,bittrex,bybit,coinbase,coincheck,crypto.com,deribit,ftx,gate.io,gemini,hitbtc,huobi,kraken,kucoin,luno,okex,poloniex
2018-12-25T00:00:00Z,223265.35981316,373440.26869687,44944.8487628,232945.64869082,177387.75786965,136504.0546117,1.03005448,903176.72545509,31718.75297879,,9198.03174085,0.00145401,7278.06103472,124016.15887143,92137.59854934,149318.745798,148852.67029038,332.41236301,20034.7507554,62412.62507793,58414.43505664
2018-12-26T00:00:00Z,222170.99165428,376233.95656707,44912.69026553,231343.11685601,176048.25350501,136779.35087186,1.16494643,904376.98089226,31851.23771629,,9269.82464517,0.00145401,7338.31814767,124255.17571534,91958.93251231,150396.6439384,149206.97713984,444.64662508,20073.61339875,62859.30059996,58633.81599756
2018-12-27T00:00:00Z,220324.29683232,377769.57965999,45345.61524582,230807.06182539,175412.59506239,136389.4189017,5.08693454,903240.61605129,31702.96950452,,9143.42431936,0.00145401,7374.5203444,124639.63951968,92024.08996312,150093.77254347,149029.48574716,434.50410485,20054.79940302,63672.47329584,59691.44746767
2018-12-28T00:00:00Z,221123.2511988,377807.65648942,45765.8996786,230856.37510735,180270.60381997,136278.4004285,1.05484432,902793.36856108,31610.57313845,,8898.84794728,0.00145401,7381.5223959,124372.73202728,90775.33391635,147636.92785837,147901.07247112,407.85699392,19978.46439235,61711.16071121,62295.37584763
2018-12-29T00:00:00Z,220992.28074982,376652.23872024,45368.05175499,230301.76445042,179558.04841355,136547.96160051,1.13087048,898544.60612372,31783.2754197,,8971.13566091,0.00145401,7366.14595641,124596.91168838,90432.51745282,148287.10620887,148137.84358353,351.74203949,19942.74806304,59941.47696315,62364.51874792
2018-12-30T00:00:00Z,222805.89728085,374943.16470699,45210.37063327,229649.5276482,179817.73804944,136203.6276812,1.02755048,899610.97573401,31742.58732381,,8983.75496672,0.00145401,7356.75866073,124725.1788223,90447.11513966,148015.42468544,147729.92863014,320.30945206,19971.91912657,58918.66855286,62301.25994914
2018-12-31T00:00:00Z,221892.90996289,373330.91655808,44440.19609369,230056.52159739,178278.29756838,135362.34930478,1.03336905,904457.69654085,31896.7529169,,8968.7298925,0.00145401,7484.28931709,124002.95155377,90207.88209574,148346.50348522,148624.79589985,299.96577889,19877.03618083,58570.84182459,62309.51024575
2019-01-01T00:00:00Z,222355.19684181,372130.5740145,44390.43814497,231187.60159527,179132.6176351,135532.24445014,1.02755048,905168.99636211,31667.55070268,,8975.08066718,0.00145401,7509.89992766,122462.84337124,90771.66016161,147745.87558746,148609.35304343,290.15009582,19869.14994878,59286.10142651,60420.20294721
2019-01-02T00:00:00Z,222472.57030411,372067.41177761,45034.87669528,233297.37552215,176673.40848453,135624.01982101,1.02755048,905159.85857511,31739.37034017,,8880.1478127,0.00145401,7542.71564788,122264.67196778,90581.96622253,147263.61893851,147428.77335769,331.96801802,19808.96635854,59492.59611418,58926.57987649
2019-01-03T00:00:00Z,221427.42472228,372696.49514732,44296.83271706,232771.61361302,169346.01577626,135052.00461582,4.23389479,896162.15281671,31748.24114806,,8929.6974717,0.00145401,7509.34370614,121699.99547872,91371.2561343,148366.26346269,147754.62028033,301.82920249,19952.93285621,59249.71641117,58604.1646846
2019-01-04T00:00:00Z,221412.88600254,371519.82383768,44992.75839287,233558.98073907,168405.245455,135382.41172003,1.23079052,895789.30571591,31676.05645811,,9188.63838139,0.00145401,7655.28146034,121117.91095722,90627.65526462,147959.69958545,147375.95658508,679.45501045,20004.36173078,59916.90725561,59679.49438599
